id,complex_order_id,t,p,q
9525042_11_15,9525042,11,1000.0,419.3
9525042_12_15,9525042,12,1000.0,419.3
9525042_13_15,9525042,13,1000.0,419.3
9525042_14_15,9525042,14,1000.0,419.3
9525042_15_15,9525042,15,1000.0,419.3
9525042_16_15,9525042,16,1000.0,419.3
9525042_17_15,9525042,17,1000.0,419.3
9525042_18_15,9525042,18,1000.0,419.3
9525042_19_15,9525042,19,1000.0,388.2
9525042_20_2,9525042,20,86.33,19.0
9525042_20_3,9525042,20,88.94,4.4
9525042_20_15,9525042,20,1000.0,230.9
9525042_21_2,9525042,21,86.33,19.0
9525042_21_3,9525042,21,88.94,19.0
9525042_21_4,9525042,21,91.56,19.0
9525042_21_5,9525042,21,94.17,19.0
9525042_21_6,9525042,21,96.79,19.0
9525042_21_7,9525042,21,99.4,19.0
9525042_21_8,9525042,21,102.02,19.0
9525042_21_9,9525042,21,104.63,19.0
9525042_21_10,9525042,21,107.24,19.0
9525042_21_11,9525042,21,109.86,19.0
9525042_21_12,9525042,21,112.47,19.0
9525042_21_13,9525042,21,115.09,10.1
9525042_21_15,9525042,21,1000.0,35.2
9525042_22_2,9525042,22,86.33,19.0
9525042_22_3,9525042,22,88.94,19.0
9525042_22_4,9525042,22,91.56,19.0
9525042_22_5,9525042,22,94.17,19.0
9525042_22_6,9525042,22,96.79,19.0
9525042_22_7,9525042,22,99.4,19.0
9525042_22_8,9525042,22,102.02,19.0
9525042_22_9,9525042,22,104.63,19.0
9525042_22_10,9525042,22,107.24,19.0
9525042_22_11,9525042,22,109.86,19.0
9525042_22_12,9525042,22,112.47,19.0
9525042_22_13,9525042,22,115.09,10.6
9525042_22_15,9525042,22,1000.0,34.7
9525042_23_2,9525042,23,86.33,19.0
9525042_23_3,9525042,23,88.94,19.0
9525042_23_4,9525042,23,91.56,19.0
9525042_23_5,9525042,23,94.17,19.0
9525042_23_6,9525042,23,96.79,19.0
9525042_23_7,9525042,23,99.4,19.0
9525042_23_8,9525042,23,102.02,19.0
9525042_23_9,9525042,23,104.63,19.0
9525042_23_10,9525042,23,107.24,19.0
9525042_23_11,9525042,23,109.86,19.0
9525042_23_12,9525042,23,112.47,19.0
9525042_23_13,9525042,23,115.09,11.1
9525042_23_15,9525042,23,1000.0,34.2
9525042_24_15,9525042,24,1000.0,369.3
9525043_1_15,9525043,1,1000.0,421.0
9525043_2_15,9525043,2,1000.0,421.0
9525043_3_15,9525043,3,1000.0,421.0
9525043_4_15,9525043,4,1000.0,421.0
9525043_5_15,9525043,5,1000.0,421.0
9525043_6_15,9525043,6,1000.0,421.0
9525043_7_15,9525043,7,1000.0,421.0
9525043_8_15,9525043,8,1000.0,421.0
9525043_9_15,9525043,9,1000.0,421.0
9525043_10_15,9525043,10,1000.0,421.0
9525043_11_15,9525043,11,1000.0,421.0
9525043_12_15,9525043,12,1000.0,421.0
9525043_13_15,9525043,13,1000.0,421.0
9525043_14_15,9525043,14,1000.0,421.0
9525043_15_15,9525043,15,1000.0,421.0
9525043_16_15,9525043,16,1000.0,421.0
9525043_17_15,9525043,17,1000.0,421.0
9525043_18_15,9525043,18,1000.0,421.0
9525043_19_15,9525043,19,1000.0,388.9
9525043_20_2,9525043,20,96.56,15.3
9525043_20_15,9525043,20,1000.0,240.7
9525043_21_2,9525043,21,96.56,19.2
9525043_21_3,9525043,21,98.15,19.2
9525043_21_4,9525043,21,99.75,19.2
9525043_21_5,9525043,21,101.35,19.2
9525043_21_6,9525043,21,102.95,19.2
9525043_21_7,9525043,21,104.55,19.2
9525043_21_8,9525043,21,106.15,19.2
9525043_21_9,9525043,21,107.74,19.2
9525043_21_10,9525043,21,109.34,19.2
9525043_21_11,9525043,21,110.94,19.2
9525043_21_12,9525043,21,112.54,19.2
9525043_21_13,9525043,21,114.14,19.2
9525043_21_14,9525043,21,115.77,8.9
9525043_21_15,9525043,21,1000.0,16.7
9525043_22_2,9525043,22,96.56,19.2
9525043_22_3,9525043,22,98.15,19.2
9525043_22_4,9525043,22,99.75,19.2
9525043_22_5,9525043,22,101.35,19.2
9525043_22_6,9525043,22,102.95,19.2
9525043_22_7,9525043,22,104.55,19.2
9525043_22_8,9525043,22,106.15,19.2
9525043_22_9,9525043,22,107.74,19.2
9525043_22_10,9525043,22,109.34,19.2
9525043_22_11,9525043,22,110.94,19.2
9525043_22_12,9525043,22,112.54,19.2
9525043_22_13,9525043,22,114.14,19.2
9525043_22_14,9525043,22,115.77,11.4
