DATE,HOUR,COUNTRY,UNIT,OFFER_TYPE,ENERGY,PRICE,MATCHED
18/03/2025,1,MI,,C,0.8,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,3.8,250.0,O
18/03/2025,1,MI,,C,4.4,250.0,O
18/03/2025,1,MI,,C,2.9,250.0,O
18/03/2025,1,MI,,C,2.5,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,0.2,250.0,O
18/03/2025,1,MI,,C,0.6,250.0,O
18/03/2025,1,MI,,C,0.5,250.0,O
18/03/2025,1,MI,,C,5.0,250.0,O
18/03/2025,1,MI,,C,35.7,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,1.2,250.0,O
18/03/2025,1,MI,,C,0.4,250.0,O
18/03/2025,1,MI,,C,7.2,250.0,O
18/03/2025,1,MI,,C,12.0,250.0,O
18/03/2025,1,MI,,C,0.4,250.0,O
18/03/2025,1,MI,,C,2.2,250.0,O
18/03/2025,1,MI,,C,1.8,250.0,O
18/03/2025,1,MI,,C,6.2,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,8.8,250.0,O
18/03/2025,1,MI,,C,0.2,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,5.8,250.0,O
18/03/2025,1,MI,,C,21.8,250.0,O
18/03/2025,1,MI,,C,7.0,250.0,O
18/03/2025,1,MI,,C,0.7,250.0,O
18/03/2025,1,MI,,C,0.2,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,0.7,250.0,O
18/03/2025,1,MI,,C,0.6,250.0,O
18/03/2025,1,MI,,C,4.0,250.0,O
18/03/2025,1,MI,,C,408.0,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,4.0,250.0,O
18/03/2025,1,MI,,C,2.3,250.0,O
18/03/2025,1,MI,,C,0.2,250.0,O
18/03/2025,1,MI,,C,2.1,250.0,O
18/03/2025,1,MI,,C,117.3,250.0,O
18/03/2025,1,MI,,C,5.7,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,27.0,250.0,O
18/03/2025,1,MI,,C,54.6,250.0,O
18/03/2025,1,MI,,C,1.6,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,1.3,250.0,O
